attendance_pct,study_hours,previous_pct,internal_marks,mid_term_marks,project_marks,viva_marks,performance_category
62.5,7.3,50.2,7.4,25.3,9.3,6.2,Average
97.0,5.8,69.8,20.0,24.8,20.0,6.3,Excellent
83.9,3.8,88.0,12.8,21.7,14.2,7.0,Good
75.9,8.3,80.3,11.1,27.9,17.0,7.0,Good
49.4,7.2,84.4,12.4,30.0,18.2,9.0,Good
49.4,2.5,76.2,15.3,24.0,12.1,5.6,Average
43.5,9.2,78.1,12.3,26.9,14.5,8.6,Good
92.0,8.4,86.7,17.9,29.9,17.1,7.2,Excellent
76.1,9.5,53.7,15.6,26.6,18.2,8.2,Good
82.5,7.5,66.9,17.1,27.4,19.4,8.5,Excellent
41.2,6.5,52.2,10.7,20.5,15.4,5.4,Average
98.2,4.8,94.3,18.3,29.3,17.5,8.9,Excellent
89.9,9.4,91.9,16.7,30.0,18.7,8.8,Excellent
52.7,8.8,42.2,10.8,17.8,15.1,4.9,Average
50.9,1.4,78.8,9.1,28.7,7.6,7.2,Average
51.0,1.2,90.9,10.1,25.7,14.0,5.5,Average
58.3,4.4,49.9,8.4,22.6,7.3,7.0,Average
71.5,8.3,71.2,13.5,30.0,16.8,6.9,Good
65.9,9.9,90.4,10.9,30.0,19.6,8.6,Excellent
57.5,2.4,41.9,9.4,14.1,10.0,4.3,Needs Improvement
76.7,6.3,78.4,14.9,28.9,15.8,8.9,Good
48.4,4.4,56.4,13.0,20.6,13.1,5.8,Average
57.5,9.7,90.8,13.5,30.0,16.9,8.2,Good
62.0,8.6,93.4,9.2,30.0,16.3,9.2,Good
67.4,8.5,91.9,11.1,29.3,10.5,8.7,Good
87.1,5.2,66.1,17.9,27.3,20.0,8.1,Excellent
52.0,4.7,87.4,8.8,27.2,8.2,8.3,Average
70.9,3.5,86.5,13.2,28.0,12.8,6.5,Good
75.5,1.5,57.6,15.4,19.4,12.8,6.6,Average
42.8,8.8,85.6,7.5,30.0,13.7,9.1,Good
76.5,8.3,42.0,14.7,21.9,14.1,5.5,Good
50.2,10.0,72.8,7.9,27.8,14.4,7.7,Good
43.9,10.0,52.7,8.4,26.8,17.9,7.6,Average
96.9,6.0,46.6,18.2,15.4,15.6,4.7,Good
97.9,7.9,44.2,14.5,20.8,17.3,6.5,Good
88.5,9.5,78.3,17.2,30.0,18.4,9.9,Excellent
58.3,8.6,58.7,11.7,21.6,16.2,7.5,Average
45.9,3.2,79.9,11.0,23.5,11.7,5.6,Average
81.1,5.1,43.6,15.6,19.5,14.7,6.5,Average
66.4,2.2,57.3,15.7,19.6,15.3,7.2,Average
47.3,9.6,69.7,10.3,29.1,18.6,8.7,Good
69.7,6.5,83.5,12.6,30.0,14.3,9.6,Good
42.1,3.1,57.5,9.6,21.7,12.0,8.4,Average
94.6,7.0,74.4,18.3,30.0,16.4,9.5,Excellent
55.5,6.6,88.7,11.4,30.0,12.0,8.7,Good
79.8,4.2,73.9,15.0,24.1,16.0,8.1,Good
58.7,2.0,52.8,10.4,19.8,13.5,6.1,Average
71.2,7.0,41.3,12.4,24.7,15.6,7.2,Good
72.8,5.7,87.9,11.1,29.1,12.6,7.9,Good
51.1,8.0,41.2,14.2,16.7,16.7,6.7,Average
98.2,5.7,88.1,15.2,30.0,13.6,7.7,Excellent
86.5,8.7,69.1,14.6,26.8,18.6,9.2,Excellent
96.4,6.0,91.6,16.0,24.2,18.6,7.5,Excellent
93.7,6.0,83.9,18.8,30.0,17.9,7.1,Excellent
75.9,8.9,94.9,13.8,30.0,16.0,8.9,Excellent
95.3,4.6,59.3,19.8,21.3,19.2,4.2,Good
45.3,2.2,82.2,8.4,26.3,8.4,8.2,Average
51.8,1.3,62.1,11.3,20.1,10.5,6.9,Average
42.7,7.8,66.4,7.7,28.0,16.3,7.4,Average
59.5,6.6,74.5,16.2,25.6,16.8,7.5,Good
63.3,7.3,88.1,10.1,30.0,12.8,10.0,Good
56.3,2.9,94.1,12.1,28.1,10.9,7.5,Average
89.7,2.2,82.3,17.7,27.6,17.2,6.8,Good
61.4,1.1,63.0,13.0,21.5,11.4,7.9,Average
56.9,4.2,63.2,11.2,19.3,11.0,7.8,Average
72.6,6.3,80.6,13.6,30.0,18.0,8.5,Good
48.5,4.5,53.1,10.4,18.3,14.8,6.6,Average
88.1,4.9,46.1,15.9,20.9,14.9,7.6,Good
44.5,9.1,59.5,11.6,26.3,11.9,6.8,Average
